Date,High
2017-03-19,1064
2017-03-18,1099
2017-03-17,1188
2017-03-16,1260
2017-03-15,1260
2017-03-14,1260
2017-03-13,1249
2017-03-12,1198
2017-03-11,1350
2017-03-10,1208
2017-03-09,1245
2017-03-08,1282
2017-03-07,1285
2017-03-06,1275
2017-03-05,1290
2017-03-04,1298
2017-03-03,1283
2017-03-02,1231
2017-03-01,1210
2017-02-28,1198
2017-02-27,1185
2017-02-26,1185
2017-02-25,1220
2017-02-24,1194
2017-02-23,1143
2017-02-22,1127
2017-02-21,1090
2017-02-20,1062
2017-02-19,1069
2017-02-18,1065
2017-02-17,1043
2017-02-16,1014
2017-02-15,1019
2017-02-14,1008
2017-02-13,1012
2017-02-12,1020
2017-02-11,1011
2017-02-10,1075
2017-02-09,1070
2017-02-08,1056
2017-02-07,1032
2017-02-06,1035
2017-02-05,1044
2017-02-04,1023
2017-02-03,1012
2017-02-02,987
2017-02-01,970
2017-01-31,923
2017-01-30,920
2017-01-29,921
2017-01-28,925
2017-01-27,919
2017-01-26,904
2017-01-25,923
2017-01-24,928
2017-01-23,938
2017-01-22,928
2017-01-21,902
2017-01-20,910
2017-01-19,916
2017-01-18,909
2017-01-17,835
2017-01-16,823
2017-01-15,838
2017-01-14,831
2017-01-13,833
2017-01-12,918
2017-01-11,912
2017-01-10,913
2017-01-09,942
2017-01-08,907
2017-01-07,1027
2017-01-06,1137
2017-01-05,1140
2017-01-04,1039
2017-01-03,1032
2017-01-02,1005
2017-01-01,966
